2025-09-18 17:26:37 | INFO | {'message': 'I just tried a movie! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-18 17:26:37', 'category': 'entertainment', 'sentiment': 0.25, 'keyword_mentioned': 'movie', 'message_length': 36}
2025-09-18 17:26:42 | INFO | {'message': 'I just shared a story! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:42', 'category': 'other', 'sentiment': 0.45, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-18 17:26:47 | INFO | {'message': 'I just found Python! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:47', 'category': 'tech', 'sentiment': 0.82, 'keyword_mentioned': 'Python', 'message_length': 36}
2025-09-18 17:26:52 | INFO | {'message': 'I just found Python! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-18 17:26:52', 'category': 'tech', 'sentiment': 0.26, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-18 17:26:57 | INFO | {'message': 'I just tried a meme! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-18 17:26:57', 'category': 'humor', 'sentiment': 0.35, 'keyword_mentioned': 'meme', 'message_length': 37}
2025-09-18 17:26:58 | INFO | Logging to file: logs/project_log.log
2025-09-18 17:26:58 | INFO | Log sanitization enabled, personal info removed
2025-09-18 17:26:58 | INFO | Starting Consumer to run continuously.
2025-09-18 17:26:58 | INFO | Things can fail or get interrupted, so use a try block.
2025-09-18 17:26:58 | INFO | Moved .env variables into a utils config module.
2025-09-18 17:26:58 | INFO | STEP 1. Read environment variables using new config functions.
2025-09-18 17:26:58 | INFO | BUZZ_TOPIC: buzzline_v2
2025-09-18 17:26:58 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | BUZZ_CONSUMER_GROUP_ID: buzz_group
2025-09-18 17:26:58 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-18 17:26:58 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-18 17:26:58 | INFO | SQLITE_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-18 17:26:58 | INFO | SUCCESS: Read environment variables.
2025-09-18 17:26:58 | INFO | STEP 2. Delete any prior database file for a fresh start.
2025-09-18 17:26:58 | INFO | SUCCESS: Deleted database file.
2025-09-18 17:26:58 | INFO | STEP 3. Initialize a new database with an empty table.
2025-09-18 17:26:58 | INFO | Calling SQLite init_db() with {db_path=}.
2025-09-18 17:26:58 | INFO | SUCCESS: Got a cursor to execute SQL.
2025-09-18 17:26:58 | INFO | SUCCESS: Database initialized and table ready at ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite.
2025-09-18 17:26:58 | INFO | STEP 4. Begin consuming and storing messages.
2025-09-18 17:26:58 | INFO | Called consume_messages_from_kafka() with:
2025-09-18 17:26:58 | INFO |    topic='buzzline_v2'
2025-09-18 17:26:58 | INFO |    kafka_url='172.21.223.52:9092'
2025-09-18 17:26:58 | INFO |    group='buzz_group'
2025-09-18 17:26:58 | INFO |    sql_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:26:58 | INFO |    interval_secs=5
2025-09-18 17:26:58 | INFO | Step 1. Verify Kafka Services.
2025-09-18 17:26:58 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'fCKkC1fvT7e0yHJQ3TZReQ', 'controller_id': 0}
2025-09-18 17:26:58 | INFO | Step 2. Create a Kafka consumer.
2025-09-18 17:26:58 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | Creating Kafka consumer. Topic='buzzline_v2' and group ID='buzz_group'.
2025-09-18 17:26:58 | INFO | Kafka consumer created successfully.
2025-09-18 17:26:58 | INFO | Kafka consumer created successfully.
2025-09-18 17:26:58 | INFO | Step 3. Verify topic exists.
2025-09-18 17:26:58 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:26:58 | INFO | is_topic_available: topic 'buzzline_v2' found on 172.21.223.52:9092.
2025-09-18 17:26:58 | INFO | Kafka topic 'buzzline_v2' is ready.
2025-09-18 17:26:58 | INFO | Step 4. Process messages.
2025-09-18 17:26:59 | ERROR | ERROR: Could not consume messages from Kafka: name 'time' is not defined
2025-09-18 17:26:59 | ERROR | Unexpected error: name 'time' is not defined
2025-09-18 17:26:59 | INFO | Consumer shutting down.
2025-09-18 17:27:02 | INFO | {'message': 'I just saw an app! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-18 17:27:02', 'category': 'other', 'sentiment': 0.71, 'keyword_mentioned': 'other', 'message_length': 32}
2025-09-18 17:27:03 | WARNING | Producer interrupted by user.
2025-09-18 17:27:03 | INFO | Kafka producer closed.
2025-09-18 17:27:03 | INFO | Producer shutting down.
2025-09-18 17:33:06 | INFO | Logging to file: logs/project_log.log
2025-09-18 17:33:06 | INFO | Log sanitization enabled, personal info removed
2025-09-18 17:33:06 | INFO | Starting Consumer to run continuously.
2025-09-18 17:33:06 | INFO | Things can fail or get interrupted, so use a try block.
2025-09-18 17:33:06 | INFO | Moved .env variables into a utils config module.
2025-09-18 17:33:06 | INFO | STEP 1. Read environment variables using new config functions.
2025-09-18 17:33:06 | INFO | BUZZ_TOPIC: buzzline_v2
2025-09-18 17:33:06 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:33:06 | INFO | BUZZ_CONSUMER_GROUP_ID: buzz_group
2025-09-18 17:33:06 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-18 17:33:06 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-18 17:33:06 | INFO | SQLITE_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-18 17:33:06 | INFO | SUCCESS: Read environment variables.
2025-09-18 17:33:06 | INFO | ENV: topic=buzzline_v2, kafka_url=172.21.223.52:9092, group_id=buzz_group
2025-09-18 17:33:06 | INFO | ENV: sqlite_path=~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite, interval_secs=5
2025-09-18 17:33:06 | INFO | STEP 2. Delete any prior database file for a fresh start.
2025-09-18 17:33:06 | INFO | SUCCESS: Deleted database file.
2025-09-18 17:33:06 | INFO | STEP 3. Initialize a new database with an empty table.
2025-09-18 17:33:06 | INFO | Calling SQLite init_db() with {db_path=}.
2025-09-18 17:33:06 | INFO | SUCCESS: Got a cursor to execute SQL.
2025-09-18 17:33:06 | INFO | SUCCESS: Database initialized and table ready at ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite.
2025-09-18 17:33:06 | INFO | STEP 4. Begin consuming and storing messages.
2025-09-18 17:33:06 | INFO | Called consume_messages_from_kafka() with:
2025-09-18 17:33:06 | INFO |    topic=buzzline_v2
2025-09-18 17:33:06 | INFO |    kafka_url=172.21.223.52:9092
2025-09-18 17:33:06 | INFO |    group=buzz_group
2025-09-18 17:33:06 | INFO |    sql_path=~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-18 17:33:06 | INFO |    interval_secs=5
2025-09-18 17:33:06 | INFO | Step 1. Verify Kafka Services.
2025-09-18 17:33:06 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:33:06 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:33:06 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'fCKkC1fvT7e0yHJQ3TZReQ', 'controller_id': 0}
2025-09-18 17:33:06 | INFO | Step 2. Create a Kafka consumer.
2025-09-18 17:33:06 | ERROR | ERROR: Could not create Kafka consumer: create_kafka_consumer() got an unexpected keyword argument 'topic'
2025-09-18 17:33:06 | INFO | Consumer shutting down.
2025-09-18 17:35:19 | INFO | Logging to file: logs/project_log.log
2025-09-18 17:35:19 | INFO | Log sanitization enabled, personal info removed
2025-09-18 17:35:19 | INFO | Starting Consumer to run continuously.
2025-09-18 17:35:19 | INFO | Things can fail or get interrupted, so use a try block.
2025-09-18 17:35:19 | INFO | Moved .env variables into a utils config module.
2025-09-18 17:35:19 | INFO | STEP 1. Read environment variables using new config functions.
2025-09-18 17:35:19 | INFO | BUZZ_TOPIC: buzzline_v2
2025-09-18 17:35:19 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:35:19 | INFO | BUZZ_CONSUMER_GROUP_ID: buzz_group
2025-09-18 17:35:19 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-18 17:35:19 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-18 17:35:19 | INFO | SQLITE_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-18 17:35:19 | INFO | SUCCESS: Read environment variables.
2025-09-18 17:35:19 | INFO | ENV: topic=buzzline_v2, kafka_url=172.21.223.52:9092, group_id=buzz_group
2025-09-18 17:35:19 | INFO | ENV: sqlite_path=~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite, interval_secs=5
2025-09-18 17:35:19 | INFO | STEP 2. Delete any prior database file for a fresh start.
2025-09-18 17:35:19 | INFO | SUCCESS: Deleted database file.
2025-09-18 17:35:19 | INFO | STEP 3. Initialize a new database with an empty table.
2025-09-18 17:35:19 | INFO | Calling SQLite init_db() with {db_path=}.
2025-09-18 17:35:19 | INFO | SUCCESS: Got a cursor to execute SQL.
2025-09-18 17:35:19 | INFO | SUCCESS: Database initialized and table ready at ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite.
2025-09-18 17:35:19 | INFO | STEP 4. Begin consuming and storing messages.
2025-09-18 17:35:19 | INFO | Called consume_messages_from_kafka() with:
2025-09-18 17:35:19 | INFO |    topic=buzzline_v2
2025-09-18 17:35:19 | INFO |    kafka_url=172.21.223.52:9092
2025-09-18 17:35:19 | INFO |    group=buzz_group
2025-09-18 17:35:19 | INFO |    sql_path=~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-18 17:35:19 | INFO |    interval_secs=5
2025-09-18 17:35:19 | INFO | Step 1. Verify Kafka Services.
2025-09-18 17:35:19 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
